_measurement,time,price,mileage,title,url
string,dateTime:RFC3339,double,double,string,string
group,FALSE,FALSE,FALSE,FALSE,FALSE
gt350_listing,2021-11-19T00:00:00Z,70000,6200,"6,200-Kilometer 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-8/
gt350_listing,2021-12-07T00:00:00Z,61000,2000,2k-Mile 2018 Ford Mustang Shelby GT350,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350-17/
gt350_listing,2021-12-13T00:00:00Z,74500,734,734-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-gt350r-7/
gt350_listing,2022-01-13T00:00:00Z,60525,1600,"1,600-Mile 2018 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350-18/
gt350_listing,2022-03-26T00:00:00Z,99650,1600,"1,600-Mile 2018 Ford Mustang Shelby GT350R Hennessey HPE850",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-14/
gt350_listing,2022-04-19T00:00:00Z,72000,4800,"4,800-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-16/
gt350_listing,2022-04-26T00:00:00Z,75000,1400,"1,400-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-22/
gt350_listing,2022-06-09T00:00:00Z,76500,1700,"1,700-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-20/
gt350_listing,2022-07-02T00:00:00Z,72500,4800,"4,800-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-25/
gt350_listing,2022-07-26T00:00:00Z,72000,750,750-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-27/
gt350_listing,2023-03-22T00:00:00Z,72500,4100,"4,100-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-34/
gt350_listing,2023-04-01T00:00:00Z,71500,10000,10k-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-35/
gt350_listing,2023-04-11T00:00:00Z,66000,231,231-Mile 2018 Ford Mustang Shelby GT350,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350-32/
gt350_listing,2023-05-03T00:00:00Z,53500,5500,"5,500-Mile 2018 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350-35/
gt350_listing,2023-05-07T00:00:00Z,62000,11000,11k-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-37/
gt350_listing,2023-06-12T00:00:00Z,53000,7000,7k-Kilometer 2018 Ford Mustang Shelby GT350,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350-29/
gt350_listing,2023-09-18T00:00:00Z,62000,675,675-Mile 2018 Ford Mustang Shelby GT350,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350-38/
gt350_listing,2023-09-22T00:00:00Z,76500,1700,"1,700-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-41/
gt350_listing,2023-10-20T00:00:00Z,48048,4200,"4,200-Mile 2018 Ford Mustang Shelby GT350",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350-41/
gt350_listing,2023-11-03T00:00:00Z,77000,1300,"1,300-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-44/
gt350_listing,2023-12-02T00:00:00Z,61500,7000,7k-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-45/
gt350_listing,2023-12-30T00:00:00Z,77500,599,599-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-49/
gt350_listing,2024-01-18T00:00:00Z,68500,2200,"2,200-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-52/
gt350_listing,2024-02-18T00:00:00Z,61500,13000,13k-Mile 2018 Ford Mustang Shelby GT350R,https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-54/
gt350_listing,2024-03-12T00:00:00Z,70500,4700,"4,700-Mile 2018 Ford Mustang Shelby GT350R",https://bringatrailer.com/listing/2018-ford-mustang-shelby-gt350r-55/
